latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-22.57147,-57.5887,308.41,1.39,1.17,2025-11-23,0128,T,74,6.1NRT,292.24,12.43,N
-18.52275,-62.28293,301.67,1,1,2025-11-23,0128,T,43,6.1NRT,290.86,4.2,N
-18.52405,-62.29224,305.26,1,1,2025-11-23,0128,T,64,6.1NRT,290.86,6.27,N
-18.35681,-62.14363,305.9,1,1,2025-11-23,0128,T,66,6.1NRT,291.08,6.3,N
-18.36885,-62.29395,322.94,1,1,2025-11-23,0128,T,100,6.1NRT,291.61,20.36,N
-18.35999,-62.29533,310.13,1,1,2025-11-23,0128,T,79,6.1NRT,291.52,9.21,N
-17.78762,-60.82542,304.66,1.09,1.04,2025-11-23,0128,T,44,6.1NRT,286.34,7.49,N
-17.78912,-60.83547,302.94,1.09,1.04,2025-11-23,0128,T,32,6.1NRT,284.01,6.55,N
-17.49342,-59.71582,301.19,1.24,1.11,2025-11-23,0128,T,39,6.1NRT,285.71,6.34,N
-16.98066,-63.31084,301.68,1.01,1,2025-11-23,0128,T,43,6.1NRT,289.24,3.81,N
-16.98697,-63.35715,303.11,1.01,1,2025-11-23,0128,T,53,6.1NRT,290.45,4.91,N
-16.98823,-63.36642,301.5,1.01,1,2025-11-23,0128,T,42,6.1NRT,289.44,4.03,N
-13.42276,-72.8877,301.15,3.71,1.8,2025-11-23,0132,T,7,6.1NRT,286.98,39.24,N
4.3583,-70.07922,302.1,1.21,1.1,2025-11-23,0134,T,39,6.1NRT,289,4.37,N
5.63715,-68.73659,300.98,1.03,1.02,2025-11-23,0136,T,19,6.1NRT,279.7,4.25,N
5.9736,-69.80906,303.64,1.13,1.06,2025-11-23,0136,T,40,6.1NRT,292.65,4.11,N
5.97218,-69.81899,308.99,1.13,1.06,2025-11-23,0136,T,74,6.1NRT,292.46,8.18,N
5.98291,-69.81042,304.34,1.13,1.06,2025-11-23,0136,T,25,6.1NRT,292.58,4.37,N
6.39036,-69.14633,306.41,1.05,1.02,2025-11-23,0136,T,65,6.1NRT,293.31,5.47,N
6.38906,-69.15562,325.42,1.05,1.02,2025-11-23,0136,T,100,6.1NRT,293.89,23.12,N
6.49396,-68.80299,309.26,1.03,1.01,2025-11-23,0136,T,75,6.1NRT,292.98,6.96,N
6.49269,-68.81205,306.38,1.03,1.01,2025-11-23,0136,T,65,6.1NRT,293.15,4.99,N
7.90411,-64.67357,300.94,1.34,1.15,2025-11-23,0136,T,36,6.1NRT,277.18,6.35,N
7.97717,-64.89217,305.18,1.3,1.13,2025-11-23,0136,T,63,6.1NRT,281.7,8.1,N
8.74038,-66.94595,308.1,1.05,1.02,2025-11-23,0136,T,73,6.1NRT,294.8,5.88,N
8.73914,-66.95525,338.29,1.05,1.02,2025-11-23,0136,T,100,6.1NRT,295.65,40.92,N
9.39092,-64.54503,303.49,1.44,1.19,2025-11-23,0136,T,55,6.1NRT,287.91,7.67,N
9.47412,-64.18856,302.25,1.53,1.22,2025-11-23,0136,T,48,6.1NRT,286.48,7.22,N
9.47034,-64.39059,302.42,1.48,1.2,2025-11-23,0136,T,40,6.1NRT,283.36,7.94,N
9.64396,-63.55851,332.04,1.71,1.28,2025-11-23,0136,T,100,6.1NRT,287.24,66.71,N
9.64209,-63.57369,324.95,1.71,1.28,2025-11-23,0136,T,100,6.1NRT,286.8,47.66,N
9.62356,-63.72421,344.48,1.66,1.27,2025-11-23,0136,T,100,6.1NRT,286.67,107.28,N
9.62173,-63.73899,313.75,1.66,1.27,2025-11-23,0136,T,88,6.1NRT,285.13,23.94,N
9.61809,-63.76851,308.34,1.65,1.26,2025-11-23,0136,T,74,6.1NRT,285.07,16.87,N
9.61627,-63.78323,301.62,1.65,1.26,2025-11-23,0136,T,43,6.1NRT,284.61,8.47,N
9.65905,-63.52959,314.88,1.72,1.29,2025-11-23,0136,T,90,6.1NRT,286.62,27.47,N
9.65716,-63.54493,307.68,1.72,1.29,2025-11-23,0136,T,72,6.1NRT,286.43,15.46,N
9.64777,-63.62068,310.95,1.69,1.28,2025-11-23,0136,T,81,6.1NRT,283.99,20.54,N
9.64592,-63.63563,303.35,1.69,1.28,2025-11-23,0136,T,51,6.1NRT,282.64,9.86,N
9.65903,-63.62226,305.99,1.69,1.28,2025-11-23,0136,T,66,6.1NRT,283.72,13.63,N
9.70446,-63.53581,300.29,1.72,1.29,2025-11-23,0136,T,24,6.1NRT,286.07,7.37,N
9.72583,-63.45937,308.03,1.75,1.3,2025-11-23,0136,T,54,6.1NRT,286.04,15.73,N
9.73526,-63.47637,304.85,1.74,1.29,2025-11-23,0136,T,12,6.1NRT,286.03,11.18,N
9.73514,-63.46642,306.43,1.75,1.3,2025-11-23,0136,T,68,6.1NRT,286.16,14.36,N
11.76572,30.61038,305.06,2.36,1.48,2025-11-23,0132,A,50,6.1NRT,289.32,22.71,N
